eid,raw_eid,highway
39885,30276026,tertiary
108027,607084654,trunk_link
141588,1176325788,secondary
39886,30276092,trunk_link
39887,30276092,trunk_link
39888,30276092,trunk_link
39889,30276092,trunk_link
39890,30276092,trunk_link
108025,607084652,trunk
39891,30276274,tertiary
67127,112445127,secondary
39892,30276274,tertiary
141595,1176325790,secondary
39893,30276274,tertiary
39894,30276274,tertiary
39895,30276274,tertiary
154184,1423070540,tertiary
39901,30277355,residential
39902,30277355,residential
39903,30277355,residential
39904,30277355,residential
39905,30277355,residential
39906,30277364,residential
154583,1427717976,residential
39907,30277364,residential
39908,30277364,residential
39909,30277364,residential
39910,30277364,residential
39911,30277364,residential
39912,30277364,residential
39913,30277364,residential
39914,30277364,residential
39915,30277364,residential
39916,30277364,residential
39917,30277364,residential
39918,30277364,residential
39919,30277364,residential
39920,30277364,residential
39921,30277364,residential
39922,30277364,residential
39923,30277364,residential
39924,30277364,residential
53095,49796282,residential
39925,30277364,residential
39926,30277364,residential
39928,30277364,residential
39929,30277364,residential
39930,30277364,residential
39931,30277364,residential
39933,30277364,residential
39934,30277364,residential
39935,30277364,residential
39936,30277364,residential
39937,30277364,residential
39938,30277364,residential
39939,30277364,residential
39940,30277364,residential
39941,30277364,residential
39942,30277364,residential
39943,30277364,residential
39944,30277364,residential
39945,30277364,residential
39946,30277364,residential
39947,30277364,residential
39948,30277364,residential
39949,30277364,residential
39950,30277364,residential
39951,30277364,residential
39952,30277364,residential
39953,30277364,residential
39954,30277364,residential
39955,30277364,residential
39963,30284389,tertiary
39964,30284389,tertiary
39965,30284389,tertiary
39966,30284389,tertiary
39967,30284389,tertiary
130859,931876382,tertiary
39972,30284859,residential
41202,31458461,tertiary
39973,30284859,residential
39974,30284859,residential
39975,30284859,residential
39981,30284867,residential
39982,30284867,residential
39983,30284867,residential
151366,1352299651,service
39984,30284867,residential
39985,30284867,residential
44731,34891331,tertiary
39986,30284868,residential
39987,30284868,residential
39988,30284868,residential
39989,30284868,residential
39990,30284920,residential
44734,34891331,tertiary
39991,30284920,residential
39992,30284920,residential
153435,1413577936,residential
39994,30285395,residential
74316,164735155,residential
40005,30285397,service
40006,30285397,service
40007,30285397,service
153432,1413577931,service
40008,30285397,service
