node_id,longitude,latitude
564,2.3335525,48.8677459
565,2.3335726,48.8677027
566,2.3336619,48.8675112
567,2.3326949,48.8645633
568,2.3327383,48.864618
569,2.3330452,48.8650325
570,2.3335071,48.8656526
571,2.3335858,48.8657588
572,2.3338206,48.8660684
573,2.333921,48.8662097
574,2.3339845,48.8662451
575,2.3341693,48.866312
576,2.3381606,48.8712034
577,2.33823,48.8711895
578,2.3394646,48.8709361
579,2.3395415,48.8709213
580,2.3398264,48.8757868
581,2.3396896,48.8754539
582,2.3395457,48.8751307
583,2.3395127,48.8750691
584,2.3394898,48.8750136
585,2.3393926,48.8747781
586,2.3393708,48.8747251
587,2.3393436,48.8746592
588,2.3578062,48.8345654
589,2.3578873,48.8345566
590,2.3579571,48.8345423
591,2.3580584,48.8345093
592,2.3596926,48.8339797
593,2.3598546,48.8339274
594,2.3599597,48.8338939
595,2.3606485,48.8336727
596,2.3612139,48.8334901
597,2.3613402,48.8334502
598,2.362089,48.8328169
599,2.3620238,48.8328738
600,2.3619367,48.8329591
601,2.3618393,48.8329985
602,2.3613191,48.8334046
603,2.3613204,48.8333569
604,2.3613439,48.8333117
605,2.3613873,48.8332735
606,2.3614464,48.8332459
607,2.3615155,48.8332316
608,2.3615641,48.8332309
609,2.3616568,48.8332469
610,2.3617241,48.8332796
611,2.361755,48.8333102
612,2.3617787,48.8333532
613,2.361782,48.8333989
614,2.3617643,48.8334439
615,2.361727,48.8334834
616,2.3616734,48.8335136
617,2.3616506,48.8335201
618,2.3616085,48.833532
619,2.3615561,48.8335373
620,2.361469,48.8335273
621,2.3613986,48.8335004
622,2.3613726,48.8334829
623,2.3598219,48.8358718
624,2.359885,48.8357823
625,2.3607462,48.8345642
626,2.3614128,48.8336169
627,2.3647613,48.8339755
628,2.364705,48.8339915
629,2.3646524,48.8340154
630,2.3601021,48.8359729
631,2.3601611,48.8359302
632,2.361448,48.8349912
633,2.3616611,48.8348447
634,2.3618251,48.8347318
635,2.3619094,48.8346678
636,2.362958,48.8338731
637,2.3599253,48.8358828
638,2.3599279,48.8358848
639,2.3603056,48.8361195
640,2.3603543,48.8361623
641,2.3708072,48.8213568
642,2.3709209,48.8213916
643,2.3714761,48.8215734
644,2.3715571,48.8215991
645,2.3719025,48.8216959
646,2.37198,48.821719
647,2.3707299,48.8214595
648,2.3704952,48.8217803
649,2.3704791,48.821802
650,2.3704392,48.8218553
651,2.371165,48.8221221
652,2.3712072,48.8220656
653,2.3712286,48.8220369
654,2.3715049,48.8216673
655,2.3724742,48.8215326
656,2.3723312,48.8215655
657,2.3722808,48.8215772
658,2.3720708,48.8216257
659,2.372029,48.8216528
660,2.3773664,48.8227137
661,2.3773419,48.8227075
662,2.3759695,48.8223585
663,2.3758254,48.8223218
664,2.377822,48.8229654
665,2.3777373,48.8229224
666,2.377685,48.8228936
667,2.3776615,48.8228807
668,2.3756043,48.8210133
669,2.3755621,48.8210845
670,2.3752496,48.8216027
671,2.3751665,48.8217325
672,2.374992,48.8220225
673,2.3749472,48.8220946
674,2.3734848,48.8209365
675,2.373533,48.820851
676,2.3735818,48.8207657
677,2.373619,48.8207002
678,2.3736701,48.8206071
679,2.373692,48.8205716
680,2.37261,48.820432
681,2.3727123,48.8204572
682,2.373487,48.8206643
683,2.3734479,48.82073
684,2.3732677,48.8206814
685,2.3726755,48.8205217
686,2.3725679,48.8204963
687,2.3790883,48.8211487
688,2.3791091,48.8211206
689,2.3791226,48.8211027
690,2.3796191,48.8203808
691,2.379784,48.8201366
692,2.3798222,48.8200824
693,2.379915,48.8199505
694,2.380168,48.8195929
695,2.3804467,48.8191989
696,2.3806058,48.818974
697,2.3810752,48.8182985
698,2.381357,48.8179008
699,2.3814754,48.8177329
700,2.3815294,48.8176563
701,2.381572,48.8175958
702,2.3756966,48.8200361
703,2.3756707,48.8200323
704,2.3756484,48.8200229
705,2.3756322,48.8200091
706,2.3756246,48.8199943
707,2.3756243,48.8199786
708,2.3756312,48.8199636
709,2.3756448,48.8199508
710,2.3756638,48.8199413
711,2.3756862,48.8199361
712,2.37571,48.8199357
713,2.3757328,48.8199401
714,2.3757525,48.8199489
715,2.3757684,48.8199629
716,2.3757761,48.8199796
717,2.3757747,48.819997
718,2.3757644,48.8200131
719,2.3757464,48.8200259
720,2.3757229,48.8200338
721,2.3809505,48.8174079
722,2.3808876,48.8174521
723,2.3803296,48.8178444
724,2.3803013,48.8178667
725,2.3799716,48.8181527
726,2.3795938,48.8185475
727,2.3795545,48.8185975
728,2.3795051,48.8186674
729,2.3793221,48.8189701
730,2.3792855,48.8190402
731,2.3792527,48.8191122
732,2.3789586,48.8199338
733,2.3787394,48.821035
734,2.3791688,48.8199606
735,2.3790635,48.8199451
736,2.3790467,48.8212048
737,2.3789474,48.8211753
738,2.3787269,48.8211037
739,2.3785896,48.8210608
740,2.3781347,48.8209228
741,2.3780202,48.8208831
742,2.3779144,48.8208234
743,2.3778589,48.820748
744,2.387009,48.8264114
745,2.3868633,48.826381
746,2.3867825,48.8263645
747,2.3867174,48.8263511
748,2.3862478,48.8262452
749,2.3859987,48.8261906
750,2.3855062,48.8260826
751,2.385408,48.826061
752,2.3853921,48.8260575
753,2.3851577,48.8260027
754,2.3851011,48.8259885
755,2.3849622,48.8259535
756,2.3848449,48.8259262
757,2.3836835,48.8256649
758,2.3836502,48.8256562
759,2.3834872,48.8256229
760,2.3875741,48.8239949
761,2.3875588,48.8240793
762,2.3873872,48.8242429
763,2.3872106,48.8244213
764,2.3871992,48.8244334
765,2.3872539,48.8241853
766,2.3581355,48.8314432
767,2.3581083,48.8314825
768,2.2913769,48.851657
769,2.2914654,48.8516935
770,2.2914952,48.8517057
771,2.2915655,48.8517347
772,2.2916875,48.851785
773,2.3111648,48.8581176
774,2.3110785,48.8580438
775,2.3108932,48.8579126
776,2.3102204,48.8574527
777,2.3099287,48.8572593
778,2.289925,48.8549615
779,2.2915465,48.8545172
780,2.2920364,48.854383
781,2.2921846,48.8543424
782,2.2923073,48.85431
783,2.2772669,48.8371395
784,2.2773374,48.8372158
785,2.2774577,48.837346
786,2.2775303,48.8374245
787,2.2905797,48.85246
788,2.2906224,48.8525324
789,2.2906939,48.8526547
790,2.2907412,48.8527335
791,2.2891695,48.85388
